ColorPallete,2
MarioPosition,50,0
World,1
--------------------
BrickBlock,0,550
BrickBlock,0,500
BrickBlock,0,450
BrickBlock,0,400
BrickBlock,0,350
BrickBlock,0,300
BrickBlock,0,250
BrickBlock,0,200
BrickBlock,0,150
BrickBlock,0,100
BrickBlock,0,50
BrickBlock,0,0
BrickBlock,200,0
BrickBlock,250,0
BrickBlock,300,0
BrickBlock,350,0
BrickBlock,400,0
BrickBlock,450,0
BrickBlock,500,0
BrickBlock,200,550
BrickBlock,200,500
BrickBlock,200,450
BrickBlock,250,550
BrickBlock,250,500
BrickBlock,250,450
BrickBlock,300,550
BrickBlock,300,500
BrickBlock,300,450
BrickBlock,350,550
BrickBlock,350,500
BrickBlock,350,450
BrickBlock,400,550
BrickBlock,400,500
BrickBlock,400,450
BrickBlock,450,550
BrickBlock,450,500
BrickBlock,450,450
BrickBlock,500,550
BrickBlock,500,500
BrickBlock,500,450
Coin,200,400
Coin,200,350
Coin,250,400
Coin,250,350
Coin,250,300
Coin,300,400
Coin,300,350
Coin,300,300
Coin,350,400
Coin,350,350
Coin,350,300
Coin,400,400
Coin,400,350
Coin,400,300
Coin,450,400
Coin,450,350
Coin,450,300
Coin,500,400
Coin,500,350
LongPipeDestination,675,200,1,9000,400
Pipe,780,0,
BaseBlock,0,700
BaseBlock,0,650
BaseBlock,0,600
BaseBlock,50,700
BaseBlock,50,650
BaseBlock,50,600
BaseBlock,100,700
BaseBlock,100,650
BaseBlock,100,600
BaseBlock,150,700
BaseBlock,150,650
BaseBlock,150,600
BaseBlock,200,700
BaseBlock,200,650
BaseBlock,200,600
BaseBlock,250,700
BaseBlock,250,650
BaseBlock,250,600
BaseBlock,300,700
BaseBlock,300,650
BaseBlock,300,600
BaseBlock,350,700
BaseBlock,350,650
BaseBlock,350,600
BaseBlock,400,700
BaseBlock,400,650
BaseBlock,400,600
BaseBlock,450,700
BaseBlock,450,650
BaseBlock,450,600
BaseBlock,500,700
BaseBlock,500,650
BaseBlock,500,600
BaseBlock,550,700
BaseBlock,550,650
BaseBlock,550,600
BaseBlock,600,700
BaseBlock,600,650
BaseBlock,600,600
BaseBlock,650,700
BaseBlock,650,650
BaseBlock,650,600
BaseBlock,700,700
BaseBlock,700,650
BaseBlock,700,600
BaseBlock,750,700
BaseBlock,750,650
BaseBlock,750,600
BaseBlock,800,700
BaseBlock,800,650
BaseBlock,800,600
BaseBlock,850,700
BaseBlock,850,650
BaseBlock,850,600
